  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
726603 04974 201303151152 020   5 ***  55 OVC * * *  5.0 ** ** ** ** 41 40 ** ** *   33   28 ****** 29.94 1005.9 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151212 010   5 ***  45 OVC * * *  4.0 ** ** ** ** 41 40 ** ** *   32   29 ****** 29.93 1005.5 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303151232 350   3 ***  45 OVC * * *  4.0 ** ** ** ** 41 40 ** ** *   32   30 ****** 29.94 1005.9 *** ***  0.02 ***** ***** ***** ** 
726603 04974 201303151252 020   5 ***  28 OVC * * *  2.0 ** ** ** ** 41 40 ** ** *   32   30 ****** 29.93 1005.5 *** ***  0.03 ***** ***** ***** ** 
726603 04974 201303151312 030   5 ***  26 OVC * * *  2.0 ** ** ** ** 41 40 ** ** *   33   31 ****** 29.93 1005.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151332 030   5 ***   9 OVC * * *  2.0 ** ** ** ** 61 ** ** ** *   33   31 ****** 29.93 1005.5 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303151352 050   7 ***   9 OVC * * *  2.0 ** ** ** ** 61 ** ** ** *   33   31 ****** 29.92 1005.2 *** ***  0.02 ***** ***** ***** ** 
726603 04974 201303151412 050   5 ***   9 OVC * * *  2.0 ** ** ** ** 61 ** ** ** *   33   31 ****** 29.92 1005.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151432 040   7 ***   9 OVC * * *  2.5 ** ** ** ** 51 ** ** ** *   33   31 ****** 29.92 1005.2 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303151452 ***   0 ***   9 OVC * * *  2.0 ** ** ** ** 71 ** ** ** *   33   31 ****** 29.93 1005.5 *** ***  0.02 ***** ***** ***** ** 
726603 04974 201303151512 060   3 ***   9 OVC * * *  0.8 ** ** ** ** 71 ** ** ** *   32   31 ****** 29.93 1005.5 *** ***  0.01 ***** ***** ***** ** 
726603 04974 201303151532 060   3 ***   9 BKN * * *  1.0 ** ** ** ** 41 40 ** ** *   32   31 ****** 29.93 1005.5 *** ***  0.03 ***** ***** ***** ** 
726603 04974 201303151552 060   6 *** *** *** * * *  2.0 ** ** ** ** 41 40 ** ** *   32   31 ****** 29.92 1005.2 *** ***  0.03 ***** ***** ***** ** 
726603 04974 201303151612 060   7 *** 722 *** * * *  2.5 ** ** ** ** 10 ** ** ** *   33   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151632 070   8 *** 722 *** * * *  3.0 ** ** ** ** 10 ** ** ** *   33   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151652 090   7 *** 722 SCT * * *  4.0 ** ** ** ** 10 ** ** ** *   33   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151712 080   7 ***   9 BKN * * *  4.0 ** ** ** ** 10 ** ** ** *   34   31 ****** 29.90 1004.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151732 060   7 ***  11 BKN * * *  4.0 ** ** ** ** 10 ** ** ** *   34   31 ****** 29.89 1004.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151752 060   3 ***  12 BKN * * *  4.0 ** ** ** ** 10 ** ** ** *   34   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151812 070   5 ***  10 BKN * * *  4.0 ** ** ** ** 10 ** ** ** *   34   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151832 060   5 ***  12 OVC * * *  3.0 ** ** ** ** 71 ** ** ** *   34   32 ****** 29.90 1004.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151852 050   6 ***  14 OVC * * *  2.5 ** ** ** ** 71 ** ** ** *   34   32 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151912 040   5 ***  15 OVC * * *  4.0 ** ** ** ** 10 ** ** ** *   34   32 ****** 29.90 1004.5 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151932 060   6 ***  15 OVC * * *  5.0 ** ** ** ** 10 ** ** ** *   35   31 ****** 29.91 1004.8 *** *** ***** ***** ***** ***** ** 
726603 04974 201303151952 060   5 ***  17 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   35   31 ****** 29.89 1004.2 *** *** ***** ***** ***** ***** ** 
726603 04974 201303152012 070   7 ***  17 OVC * * *  7.0 ** ** ** ** ** ** ** ** *   35   31 ****** 29.88 1003.8 *** *** ***** ***** ***** ***** ** 
